SITIO,TRAMPA,GENERO,ESPECIE,NOMBRE,SEXO,EDAD
Sitio 4,1,Coquillettidia,nigricans,Coquillettidia nigricans,HEMBRA,ADULTO
Sitio 4,1,Aedes,sp,Aedes sp,MACHO,JOVEN
Sitio 4,1,Culex,coronator,Culex coronator,MACHO,JOVEN
Sitio 4,1,Aedes,sp,Aedes sp,MACHO,JOVEN
Sitio 4,1,Psorophora,ferox,Psorophora ferox,HEMBRA,ADULTO
Sitio 4,1,Aedeomyia,squamipennis,Aedeomyia squamipennis,HEMBRA,JOVEN
Sitio 4,1,Aedes,sp,Aedes sp,MACHO,JOVEN
Sitio 4,1,Aedes,sp,Aedes sp,HEMBRA,ADULTO
Sitio 4,1,Aedes,sp,Aedes sp,MACHO,ADULTO
Sitio 4,1,Culex,nigripalpus,Culex nigripalpus,HEMBRA,JOVEN
Sitio 4,1,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,1,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,1,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,1,Culex,dunni,Culex dunni,HEMBRA,JOVEN
Sitio 4,1,Culex,nigripalpus,Culex nigripalpus,HEMBRA,ADULTO
Sitio 4,1,Culex,coronator,Culex coronator,HEMBRA,JOVEN
Sitio 4,1,Culex,dunni,Culex dunni,HEMBRA,ADULTO
Sitio 4,1,Culex,nigripalpus,Culex nigripalpus,MACHO,JOVEN
Sitio 4,1,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,1,Culex,nigripalpus,Culex nigripalpus,MACHO,ADULTO
Sitio 4,1,Culex,restuans,Culex restuans,MACHO,ADULTO
Sitio 4,1,Aedes,serratus,Aedes serratus,HEMBRA,ADULTO
Sitio 4,1,Aedes,dupreei,Aedes dupreei,MACHO,ADULTO
Sitio 4,1,Culex,restuans,Culex restuans,MACHO,ADULTO
Sitio 4,1,Aedes,sp,Aedes sp,HEMBRA,JOVEN
Sitio 4,1,Psorophora,ferox,Psorophora ferox,MACHO,ADULTO
Sitio 4,1,Culex,nigripalpus,Culex nigripalpus,HEMBRA,JOVEN
Sitio 4,1,Culex,interrogator,Culex interrogator,HEMBRA,ADULTO
Sitio 4,1,Coquillettidia,nigricans,Coquillettidia nigricans,HEMBRA,ADULTO
Sitio 4,1,Culex,dunni,Culex dunni,HEMBRA,JOVEN
Sitio 4,1,Culex,restuans,Culex restuans,HEMBRA,ADULTO
Sitio 4,1,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,1,Culex,nigripalpus,Culex nigripalpus,HEMBRA,ADULTO
Sitio 4,1,Culex,nigripalpus,Culex nigripalpus,HEMBRA,ADULTO
Sitio 4,1,Culex,restuans,Culex restuans,HEMBRA,ADULTO
Sitio 4,1,Culex,dunni,Culex dunni,HEMBRA,ADULTO
Sitio 4,1,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,2,Aedes,hastatus,Aedes hastatus,MACHO,JOVEN
Sitio 4,2,Aedes,sp,Aedes sp,HEMBRA,ADULTO
Sitio 4,2,Aedes,serratus,Aedes serratus,HEMBRA,ADULTO
Sitio 4,2,Aedes,dupreei,Aedes dupreei,HEMBRA,ADULTO
Sitio 4,2,Culex,nigripalpus,Culex nigripalpus,HEMBRA,JOVEN
Sitio 4,2,Mansonia,indubitans,Mansonia indubitans,HEMBRA,ADULTO
Sitio 4,2,Aedes,dupreei,Aedes dupreei,HEMBRA,ADULTO
Sitio 4,2,Aedes,hastatus,Aedes hastatus,HEMBRA,JOVEN
Sitio 4,2,Aedes,scapularis,Aedes scapularis,MACHO,ADULTO
Sitio 4,2,Aedes,dupreei,Aedes dupreei,HEMBRA,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,HEMBRA,ADULTO
Sitio 4,2,Aedes,sp,Aedes sp,HEMBRA,ADULTO
Sitio 4,2,Aedes,dupreei,Aedes dupreei,MACHO,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,2,Culex,iolambdis,Culex iolambdis,HEMBRA,JOVEN
Sitio 4,2,Culex,nigripalpus,Culex nigripalpus,MACHO,ADULTO
Sitio 4,2,Culex,coronator,Culex coronator,MACHO,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,HEMBRA,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,HEMBRA,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,HEMBRA,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,2,Culex,iolambdis,Culex iolambdis,MACHO,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,HEMBRA,ADULTO
Sitio 4,2,Uranotaenia,lowii,Uranotaenia lowii,MACHO,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,HEMBRA,JOVEN
Sitio 4,2,Culex,coronator,Culex coronator,MACHO,JOVEN
Sitio 4,2,Culex,sp,Culex sp,HEMBRA,ADULTO
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,JOVEN
Sitio 4,2,Culex,dunni,Culex dunni,MACHO,JOVEN
